Unicode;Type;Alphabetical Order;Symbol;Canonical Example;RTGS;Meaning;RGTS (Initial);RGTS (Final);IPA (Initial);IPA (Final);Class;Long or Short;Obsolete?;Notes;Consonant Ending;Dead or Live;Type;Grapheme position
U+0E33;Vowel;;ำ;;;;;;;;;Short;;Extra vowel;;;;postposed
U+0E34;Vowel;;ิ;;;;ee;;;;;Short;;;;;;superposed
U+0E35;Vowel;;ี;;;;ee;;;;;Long;;;;;;superposed
U+0E36;Vowel;;ึ;;;;uea;;;;;Short;;;;;;superposed
U+0E37;Vowel;;ื;;;;uea;;;;;Long;;;;;;superposed
U+0E38;Vowel;;ุ;;;;oo;;;;;Short;;;;;;subposed
U+0E39;Vowel;;ู;;;;oo;;;;;Long;;;;;;subposed
U+0E3A;Diacritic;;ฺ;พินทุ ;Pinthu;Indicates vowel is silent.;;;;;;;;Comes from Sanskrit.;;;;subposed
U+0E3B;Non-assigned;;;;;;;;;;;;;;;;;
U+0E3C;Non-assigned;;;;;;;;;;;;;;;;;
U+0E3D;Non-assigned;;;;;;;;;;;;;;;;;
U+0E3E;Non-assigned;;;;;;;;;;;;;;;;;
U+0E3F;Symbol;;฿;;THB;Baht;;;;;;;;;;;;
U+0E40;Vowel;;เ;ไม้หน้า;Mai na;;;;;;;Conditional;;;;;;preposed
U+0E41;Vowel;;แ;;;;;;;;;Conditional;;;;;;preposed
U+0E42;Vowel;;โ;ไม้โอ;Mai o;;o;;;;;Conditional;;;;;;preposed
U+0E43;Vowel;;ใ;ไม้ม้วน;Mai muan;;;;;;;Short;;;;;;preposed
U+0E44;Vowel;;ไ;ไม้มลาย;Mai malai;;;;;;;Short;;;;;;preposed
U+0E45;Vowel;;ๅ;;;;;;;;;Long;;;;;;postposed
U+0E46;Symbol;;ๆ;ไม้ยมก;Mai ya-mok;preceding word or phrase is reduplicated;;;;;;;;;;;;postposed
U+0E47;Diacritic;;็;ไม้ไต่คู้;Mai taikhu;Shortens vowel;;;;;;;;;;;;superposed
U+0E48;Tone mark;;่;ไม้เอก;;;;;;;;;;;;;;superposed
U+0E49;Tone mark;;้;ไม้โท;;;;;;;;;;;;;;superposed
U+0E4A;Tone mark;;๊;ไม้ตรี;;;;;;;;;;;;;;superposed
U+0E4B;Tone mark;;๋;ไม้จัตวา;;;;;;;;;;;;;;superposed
U+0E4C;Diacritic;;์;ทัณฑฆาต;karan;Indicates silent letter;;;;;;;;;;;;superposed
U+0E4D;Vowel;;ํ;นิคหิต;Nikkhahit;;;;;;;UNKNOWN;;;;;;superposed
U+0E4E;Diacritic;;๎;ยามักการ;Yamakkan ;Sanskrit Symbol;;;;;;;Yes;Obsolete, marks the beginning of consonant clusters;;;;superposed
U+0E4F;Symbol;;๏;ตาไก่;Bird's eye;Indicates paragaphs;;;;;;;Yes;;;;;
U+0E50;Numeral;;๐;;;;0;;;;;;;;;;;
U+0E51;Numeral;;๑;;;;1;;;;;;;;;;;
U+0E52;Numeral;;๒;;;;2;;;;;;;;;;;
U+0E53;Numeral;;๓;;;;3;;;;;;;;;;;
U+0E54;Numeral;;๔;;;;4;;;;;;;;;;;
U+0E55;Numeral;;๕;;;;5;;;;;;;;;;;
U+0E56;Numeral;;๖;;;;6;;;;;;;;;;;
U+0E57;Numeral;;๗;;;;7;;;;;;;;;;;
U+0E58;Numeral;;๘;;;;8;;;;;;;;;;;
U+0E59;Numeral;;๙;;;;9;;;;;;;;;;;
U+0E5A;Symbol;;๚;;;Marks the end of a chapter;;;;;;;;;;;;
U+0E5B;Symbol;;๛;โคมูตร;;Marks the end of a chapter or document;;;;;;;;;;;;
U+0E5C;Non-assigned;;;;;;;;;;;;;;;;;
U+0E5D;Non-assigned;;;;;;;;;;;;;;;;;
U+0E5E;Non-assigned;;;;;;;;;;;;;;;;;
U+0E5F;Non-assigned;;;;;;;;;;;;;;;;;
U+0E60;Non-assigned;;;;;;;;;;;;;;;;;
U+0E61;Non-assigned;;;;;;;;;;;;;;;;;
U+0E62;Non-assigned;;;;;;;;;;;;;;;;;
U+0E63;Non-assigned;;;;;;;;;;;;;;;;;
U+0E64;Non-assigned;;;;;;;;;;;;;;;;;
U+0E65;Non-assigned;;;;;;;;;;;;;;;;;
U+0E66;Non-assigned;;;;;;;;;;;;;;;;;
U+0E67;Non-assigned;;;;;;;;;;;;;;;;;
U+0E68;Non-assigned;;;;;;;;;;;;;;;;;
U+0E69;Non-assigned;;;;;;;;;;;;;;;;;
U+0E6A;Non-assigned;;;;;;;;;;;;;;;;;
U+0E6B;Non-assigned;;;;;;;;;;;;;;;;;
U+0E6C;Non-assigned;;;;;;;;;;;;;;;;;
U+0E6D;Non-assigned;;;;;;;;;;;;;;;;;
U+0E6E;Non-assigned;;;;;;;;;;;;;;;;;
U+0E6F;Non-assigned;;;;;;;;;;;;;;;;;
U+0E70;Non-assigned;;;;;;;;;;;;;;;;;
U+0E71;Non-assigned;;;;;;;;;;;;;;;;;
U+0E72;Non-assigned;;;;;;;;;;;;;;;;;
U+0E73;Non-assigned;;;;;;;;;;;;;;;;;
U+0E74;Non-assigned;;;;;;;;;;;;;;;;;
U+0E75;Non-assigned;;;;;;;;;;;;;;;;;
U+0E76;Non-assigned;;;;;;;;;;;;;;;;;
U+0E77;Non-assigned;;;;;;;;;;;;;;;;;
U+0E78;Non-assigned;;;;;;;;;;;;;;;;;
U+0E79;Non-assigned;;;;;;;;;;;;;;;;;
U+0E7A;Non-assigned;;;;;;;;;;;;;;;;;
U+0E7B;Non-assigned;;;;;;;;;;;;;;;;;
U+0E7C;Non-assigned;;;;;;;;;;;;;;;;;
U+0E7D;Non-assigned;;;;;;;;;;;;;;;;;
U+0E7E;Non-assigned;;;;;;;;;;;;;;;;;
U+0E7F;Non-assigned;;;;;;;;;;;;;;;;;
